x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max,Min Separation
136.164185,84.671638,0.560730,12.004761,0.999997,0.002397,67.000000,137.000000,85.000000,2.679680,129.998428,84.656860,142.003143,84.685638,130.000000,142.000000,82.000000,87.000000,340282346638528859811704183484516925440.000000
161.112671,85.239433,0.538299,12.064560,0.999344,-0.036216,71.000000,160.000000,85.000000,3.132813,154.980484,85.461662,167.037140,85.024734,155.000000,167.000000,82.000000,88.000000,340282346638528859811704183484516925440.000000
186.051285,85.743591,0.484794,12.068335,0.999714,-0.023923,78.000000,186.000000,86.000000,3.350598,179.973419,85.889038,192.038300,85.600319,180.000000,192.000000,83.000000,89.000000,340282346638528859811704183484516925440.000000
11.210526,103.087723,0.596473,12.025229,0.999914,-0.013132,57.000000,11.000000,103.000000,2.142699,4.989092,103.169434,17.013285,103.011513,5.000000,17.000000,101.000000,105.000000,340282346638528859811704183484516925440.000000
36.473682,103.228073,0.535541,11.018563,0.999955,-0.009531,57.000000,36.000000,103.000000,2.776857,30.993139,103.280312,42.011204,103.175293,31.000000,42.000000,101.000000,106.000000,340282346638528859811704183484516925440.000000
61.517242,103.362068,0.517252,11.063362,0.999385,-0.035063,58.000000,61.000000,104.000000,2.687986,55.984428,103.556183,67.040985,103.168274,56.000000,67.000000,101.000000,106.000000,340282346638528859811704183484516925440.000000
86.271187,103.525421,0.444048,11.055574,0.999540,0.030316,59.000000,86.000000,104.000000,3.481439,80.958618,103.364296,92.009117,103.699448,81.000000,92.000000,101.000000,107.000000,340282346638528859811704183484516925440.000000
111.232140,103.642860,0.409917,11.025230,0.999542,0.030271,56.000000,111.000000,104.000000,3.392576,105.955086,103.483047,116.975266,103.816788,106.000000,117.000000,101.000000,107.000000,340282346638528859811704183484516925440.000000
136.149994,103.983330,0.325640,11.035643,0.998814,0.048687,60.000000,136.000000,104.000000,4.067401,130.915756,103.728188,141.938309,104.265480,131.000000,142.000000,101.000000,108.000000,340282346638528859811704183484516925440.000000
161.064514,104.193550,0.094316,10.193171,0.974054,0.226318,62.000000,162.000000,104.000000,5.669885,155.775848,102.964745,165.704544,105.271645,156.000000,166.000000,101.000000,110.000000,340282346638528859811704183484516925440.000000
186.085709,104.771431,0.076722,10.431414,0.247580,0.968868,70.000000,186.000000,104.000000,6.167996,185.053207,100.730873,187.635803,110.837524,180.000000,192.000000,101.000000,111.000000,340282346638528859811704183484516925440.000000
